x_value,total_1,total_2
0,1000,1000
1,1006,997
2,1001,997
3,1009,992
4,1017,996
5,1020,996
6,1026,991
7,1022,994
8,1025,993
9,1021,990
10,1027,996
11,1032,995
12,1030,991
13,1028,987
14,1024,993
15,1028,997
16,1023,1002
17,1025,1000
18,1033,1003
19,1036,1008
20,1038,1013
21,1035,1014
22,1042,1011
23,1046,1010
24,1051,1012
25,1053,1012
26,1051,1018
27,1050,1020
28,1046,1015
29,1043,1018
30,1050,1023
31,1051,1023
32,1052,1024
33,1048,1023
34,1048,1029
35,1048,1025
36,1046,1027
37,1043,1026
38,1051,1022
39,1048,1028
40,1044,1034
41,1051,1034
42,1054,1031
43,1056,1028
44,1056,1023
45,1060,1029
46,1054,1030
47,1053,1028
48,1056,1032
49,1064,1027
50,1059,1023
51,1063,1023
52,1062,1028
53,1065,1031
54,1062,1036
55,1057,1040
56,1059,1039
57,1054,1035
58,1057,1031
59,1061,1037
60,1055,1042
61,1056,1038
62,1061,1034
63,1064,1031
64,1067,1031
65,1064,1026
66,1067,1025
67,1062,1026
68,1070,1027
69,1075,1033
70,1078,1036
71,1086,1034
72,1086,1031
73,1088,1032
74,1091,1030
75,1094,1030
76,1089,1025
77,1085,1028
78,1093,1026
